date_time,AJ네트웍스,AJ렌터카,AK홀딩스,BGF,BNK금융지주,BYC,CJ,CJ CGV,CJ대한통운,CJ씨푸드,CJ제일제당,CJ헬로,CS홀딩스,DB,DB금융투자,DB손해보험,DB하이텍,DGB금융지주,DRB동일,DSR
2017-01-02,6500.0,8330.0,53100.0,41780.0,8670.0,398000.0,188000.0,69000.0,179500.0,3665.0,359000.0,9370.0,80500.0,743.0,3285.0,61800.0,16300.0,9650.0,11899.0,9350.0
2017-01-03,6500.0,8320.0,52100.0,42811.0,8590.0,399000.0,185500.0,68000.0,176500.0,3700.0,351500.0,9290.0,78800.0,742.0,3315.0,60900.0,17250.0,9600.0,11704.0,9200.0
2017-01-04,6500.0,8310.0,51100.0,42089.0,8670.0,396000.0,185000.0,71000.0,175500.0,3605.0,350500.0,9280.0,78700.0,790.0,3405.0,62600.0,17700.0,9760.0,12143.0,9080.0
2017-01-05,6500.0,8490.0,51900.0,43171.0,8700.0,397000.0,191000.0,74400.0,175500.0,3625.0,360000.0,9130.0,77900.0,802.0,3455.0,62800.0,17950.0,9740.0,12386.0,9030.0
2017-01-06,6500.0,8400.0,52100.0,43532.0,8700.0,395000.0,192500.0,74600.0,177500.0,3605.0,361000.0,9110.0,77600.0,800.0,3475.0,63000.0,18450.0,9820.0,12338.0,8730.0
2017-01-09,6500.0,8220.0,51100.0,42605.0,8640.0,394000.0,189500.0,71700.0,171500.0,3595.0,357000.0,9100.0,78100.0,822.0,3450.0,62000.0,18450.0,9550.0,12240.0,8680.0
2017-01-10,6500.0,8210.0,51400.0,43171.0,8680.0,389000.0,190000.0,72900.0,168000.0,3615.0,352500.0,8960.0,78100.0,801.0,3420.0,62400.0,18800.0,9560.0,11850.0,8410.0
2017-01-11,6500.0,8120.0,51500.0,45593.0,8730.0,389500.0,192000.0,72300.0,165500.0,3650.0,351500.0,9000.0,78100.0,787.0,3515.0,61200.0,19200.0,9620.0,11704.0,8470.0
2017-01-12,6500.0,8000.0,51200.0,44717.0,8800.0,393500.0,192000.0,70800.0,164000.0,3705.0,357500.0,9050.0,77800.0,791.0,3525.0,61000.0,19200.0,9430.0,11850.0,8160.0
2017-01-13,6500.0,8140.0,52600.0,45438.0,8720.0,393500.0,190000.0,71300.0,164000.0,3580.0,360500.0,9080.0,78100.0,786.0,3550.0,61200.0,19000.0,9500.0,11509.0,10600.0
