ticker,매출액(억원),영업이익률(%),순이익률(%),당기순이익(억원),ROE(%),ROA(%),ROIC(%),EPS(원),BPS(원),SPS(원),PER(배),PBR(배),PSR(배),price,price2
AK홀딩스,29218.31,7.313,4.563,1333.2234,12.193,5.091,15.5147,5436.4126,48112.402,220556.16,10.30091,1.16394,0.2539,56000.0,68500.0
BGF,860.7727,9.315,214.481,1846.1921,21.624,10.433,8.0153,3703.5774,18648.623,1737.2633,22.7569,4.51947,48.5142,42140.0,15250.0
BNK금융지주,49126.76,14.499,10.546,5181.144,7.919,0.564,,1568.2368,20810.66,15358.993,5.53488,0.41709,0.56514,8680.0,9420.0
BYC,2118.5762,7.625,8.281,175.43266,4.543,2.463,10.7475,20872.312,471887.0,252211.45,19.02041,0.8413,1.57408,397000.0,306000.0
CJ,239541.97,5.23,2.379,5698.234,6.08,2.253,5.1579,6257.1523,114276.08,672045.9,28.18128,1.54306,0.26238,176334.0,171148.0
CJ CGV,14322.454,4.9110000000000005,0.393,56.2166,3.105,0.284,2.9189,583.0513,17654.154,67682.26,120.74409,3.98773,1.04015,70400.0,74200.0
CJ대한통운,60819.457,3.756,1.122,682.1013,2.39,1.361,4.9474,2445.6577,133105.08,266607.66,73.19095,1.3448,0.6714,179000.0,140000.0
CJ씨푸드,1737.3776,3.372,3.093,53.72999,10.205,5.037,6.9419,148.70976000000005,1530.1201,4808.581,23.33404,2.2678,0.72163,3470.0,2875.0
CJ제일제당,145632.58,5.7929999999999975,2.428,3535.4875,8.422,2.396,5.3656,19043.8,241270.06,1005183.75,18.77251,1.48174,0.35566,357500.0,366000.0
CS홀딩스,1231.4496,16.105,13.918,171.38786000000005,4.409,5.921,12.7189,7994.885999999998,186451.84,106666.85,10.09395,0.43282,0.75656,80700.0,80200.0
DB,2048.0996,5.324,-10.113,-207.12779,-13.052,-8.434,66.5738,-113.72754,881.1775,1124.549,-6.45402,0.8329799999999999,0.65271,734.0,658.0
DB금융투자,13253.999,0.7390000000000001,0.486,64.47619,0.017,0.002,,2.47602,14678.313999999995,31225.27,1308.5498,0.22073,0.10376,3240.0,4005.0
DB손해보험,170671.64,4.254,3.128,5337.7925,13.386,1.258,,7396.221,65873.19,241061.64,8.45026,0.94879,0.25927,62500.0,71200.0
DB하이텍,7731.401999999999,22.302,11.427,883.4402,29.647,8.962,24.5396,1984.7607,7900.009,17369.578,8.01104,2.01266,0.91539,15900.0,12000.0
DGB금융지주,36549.715,10.586,8.259,3018.5469,8.027000000000001,0.5770000000000001,,1701.6931,21772.521,21620.25,5.74134,0.44873,0.45189,9770.0,10550.0
DRB동일,5512.525,12.239,8.873,489.13644000000005,12.55,7.298999999999999,10.9297,1975.5095,17210.008,27659.432,5.95924,0.68405,0.42563,11772.0,7682.0
DSR,2010.6006,6.643,5.343,107.4331,8.503,5.76,8.0832,671.6374,8252.385,12566.254,13.84676,1.12695,0.7400800000000001,9300.0,5170.0
DSR제강,1725.359,4.442,5.0360000000000005,86.88443000000002,7.107,4.64,5.6885,603.36414,8780.054,11981.659,14.61804,1.00455,0.7361300000000001,8820.0,5240.0
E1,39959.008,0.277,-0.949,-379.39685,-2.35,-1.0759999999999998,-1.6326,-3869.011,191789.69,582492.8,-16.20569,0.32692,0.10764,62700.0,56900.0
F&F,4389.7964,10.393,6.886,302.2791,14.18,9.461,18.376,1962.8513,14721.138,28505.172,8.890130000000003,1.18537,0.61217,17450.0,41950.0
GKL,5482.3003,27.577,20.857,1143.4257,23.456,16.563,,1848.5382,8386.076,8863.052,11.0628,2.43857,2.30733,20450.0,29250.0
