,ticker,매출액(억원),영업이익률(%),순이익률(%),당기순이익(억원),ROE(%),ROA(%),ROIC(%),EPS(원),BPS(원),SPS(원),PER(배),PBR(배),PSR(배),price
0,AK홀딩스,,,,,,,,,,,,,,34600.0
1,BGF,2321.5,10.834000000000001,12.405999999999999,288.0,2.294,1.746,,363.6617,15993.833,2429.4695,14.079020000000002,0.32011999999999996,2.1074599999999997,5600.0
2,BNK금융지주,,,,6136.2,7.325,0.604,,1781.2517,25234.47,,3.7894699999999997,0.26749,,7660.0
3,BYC,,,,,,,,,,,,,,236500.0
4,CJ,338597.12,4.3069999999999995,1.7469999999999999,5913.75,7.603,1.682,0.0396,9001.091,135384.25,949415.8,9.52107,0.6330100000000001,0.09027,96600.0
5,CJ CGV,19511.732,5.707999999999999,-1.0090000000000001,-196.78572,-7.832000000000001,-0.614,0.04755,-548.8002299999999,8730.01,92204.74,-52.84254,3.32188,0.31451999999999997,34550.0
6,CJ대한통운,103428.734,2.91,0.545,564.06665,1.341,0.677,0.02767,1620.7599,156992.77,453389.34,90.69819,0.93635,0.32423,155000.0
7,CJ씨푸드,,,,,,,,,,,,,,2695.0
8,CJ제일제당,223436.88,3.6710000000000003,0.8590000000000001,1919.5625,2.8739999999999997,0.905,0.03323,8501.144,306233.66,1363948.6,28.6432,0.79514,0.17853,252500.0
9,CS홀딩스,,,,,,,,,,,,,,58500.0
10,DB,,,,,,,,,,,,,,880.0
11,DB금융투자,,,,,,,,,,,,,,4235.0
12,DB손해보험,118980.0,4.5889999999999995,3.3,3926.5,6.5120000000000005,0.78,,5324.859,102380.25,168050.84,8.35703,0.43465,0.2648,52300.0
13,DB하이텍,8090.0,22.373,15.637,1265.0,18.499000000000002,11.164000000000001,0.198,2561.155,15522.306,18175.215,11.0497,1.82318,1.5570700000000002,27600.0
14,DGB금융지주,,,,3544.75,7.125,0.524,,1891.5361,27413.326,,3.4363599999999996,0.23711,,7120.0
15,DRB동일,,,,,,,,,,,,,,5260.0
16,DSR,,,,,,,,,,,,,,4590.0
17,DSR제강,,,,,,,,,,,,,,4550.0
18,E1,,,,,,,,,,,,,,48300.0
