,Sector
AJ네트웍스,산업용 기계 및 장비 임대업
AJ렌터카,운송장비 임대업
AK홀딩스,기타 금융업
AP우주통신,전자부품 제조업
BGF,종합 소매업
BGF리테일,종합 소매업
BHK,상품 종합 도매업
BNK금융지주,기타 금융업
BYC,봉제의복 제조업
C&우방,건물 건설업
C&중공업,자동차용 엔진 및 자동차 제조업
CJ,기타 금융업
CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업"
CJ대한통운,도로 화물 운송업
CJ씨푸드,기타 식품 제조업
CJ제일제당,기타 식품 제조업
CJ헬로,텔레비전 방송업
CS홀딩스,기타 금융업
DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
DB금융투자,금융 지원 서비스업
DB손해보험,보험업
DB하이텍,반도체 제조업
DGB금융지주,기타 금융업
DRB동일,기타 금융업
DSR,1차 비철금속 제조업
DSR제강,1차 철강 제조업
E1,기타 전문 도매업
F&F,봉제의복 제조업
FnC코오롱,봉제의복 제조업
GBS,기타 금속 가공제품 제조업
GKL,유원지 및 기타 오락관련 서비스업
GPS,전자부품 제조업
GS,기타 금융업
GS건설,건물 건설업
GS글로벌,상품 종합 도매업
GS리테일,종합 소매업
HDC,건물 건설업
HDC아이콘트롤스,전기 및 통신 공사업
HDC현대EP,기타 화학제품 제조업
HDC현대산업개발,건물 건설업
HSD엔진,일반 목적용 기계 제조업
JB금융지주,기타 금융업
JS전선,절연선 및 케이블 제조업
JW생명과학,의약품 제조업
JW중외제약,의약품 제조업
JW홀딩스,기타 금융업
KB금융,기타 금융업
KB손해보험,보험업
KB캐피탈,기타 금융업
KC그린홀딩스,기타 금융업
KC코트렐,일반 목적용 기계 제조업
KEC,반도체 제조업
KEP전자,전자부품 제조업
KG케미칼,기초 화학물질 제조업
KISCO홀딩스,기타 금융업
KNC,통신 및 방송 장비 제조업
KPX케미칼,기초 화학물질 제조업
KPX홀딩스,기타 금융업
KR모터스,그외 기타 운송장비 제조업
KSS해운,해상 운송업
KTB투자증권,금융 지원 서비스업
KTF,전기 통신업
KTcs,기타 정보 서비스업
LF,봉제의복 제조업
LG,기타 금융업
LGEI,회사 본부 및 경영 컨설팅 서비스업
LG금속,1차 비철금속 제조업
LG데이콤,전기 통신업
LG디스플레이,전자부품 제조업
LG상사,상품 중개업
LG생명과학,의약품 제조업
LG생활건강,기타 화학제품 제조업
LG석유화학,기초 화학물질 제조업
LG유플러스,전기 통신업
LG이노텍,전자부품 제조업
LG전자,통신 및 방송 장비 제조업
LG정보,통신 및 방송 장비 제조업
LG종합금융,기타 금융업
LG카드,기타 금융업
LG파워콤,전기 통신업
LG하우시스,플라스틱제품 제조업
LG화학,기초 화학물질 제조업
LIG넥스원,무기 및 총포탄 제조업
LS,기타 금융업
LS네트웍스,상품 종합 도매업
LS산전,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
LS전선아시아,기타 금융업
MH에탄올,알코올음료 제조업
NAVER,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
NHN엔터테인먼트,소프트웨어 개발 및 공급업
NH농협증권,금융 지원 서비스업
NH투자증권,금융 지원 서비스업
NICE,회사 본부 및 경영 컨설팅 서비스업
NI스틸,1차 철강 제조업
OCI,기초 화학물질 제조업
S&TC,일반 목적용 기계 제조업
S&T모티브,자동차 신품 부품 제조업
S&T중공업,자동차 신품 부품 제조업
S&T홀딩스,기타 금융업
S-Oil,석유 정제품 제조업
SBI모기지,기타 금융업
SBS,텔레비전 방송업
SBS미디어홀딩스,기타 금융업
SG세계물산,상품 종합 도매업
SG충방,자동차 신품 부품 제조업
SH에너지화학,기초 화학물질 제조업
SIMPAC,특수 목적용 기계 제조업
SK,기타 금융업
SKC,기타 화학제품 제조업
SKf,회사 본부 및 경영 컨설팅 서비스업
SK가스,기타 전문 도매업
SK네트웍스,기타 전문 도매업
SK디스커버리,기타 금융업
SK디앤디,부동산 임대 및 공급업
SK이노베이션,기타 금융업
SK증권,금융 지원 서비스업
SK케미칼,합성고무 및 플라스틱 물질 제조업
SK텔레콤,전기 통신업
SK하이닉스,반도체 제조업
SPC삼립,기타 식품 제조업
STX,상품 종합 도매업
STX엔진,일반 목적용 기계 제조업
STX조선해양,선박 및 보트 건조업
STX중공업,일반 목적용 기계 제조업
SY,동물용 사료 및 조제식품 제조업
