거점ID,전기차 여부,주소,거점명
493,GA,서울 강북구 미아동 42-56,하이마트 미아사거리점
2409,GA,서울 용산구 한강로2가 424,아모레퍼시픽 본사
2270,GA,서울 종로구 숭인동 7-12,창신역
629,GA,서울 마포구 대흥동 산 1-30,서강대학교
166,GA,서울 종로구 서린동 132,광화문역 5번출구
1158,GA,서울 강동구 천호동 87-26,천호1동주민센터
676,GA,서울 중구 남대문로5가 827,서울역 10번출구(후암삼거리)
704,TO,서울 강남구 대치동 890-20,선릉역 1번출구
1081,GA,서울 동대문구 장안동 331-2,장안동사거리
522,GA,서울 강서구 방화동 830-4,방화역 1번출구
394,GA,서울 강북구 미아동 1359,롯데마트 삼양점
1265,GA,서울 금천구 시흥동 992-47,홈플러스 시흥점
406,GA,서울 강남구 역삼동 675-3,르네상스호텔 사거리
28,GA,서울 송파구 거여동 26-1,SK주유소 송파점
2021,GA,서울 동작구 신대방동 395-70,보라매 전문건설회관
2158,GA,서울 마포구 상암동 1580,DMC첨단산업센터
30,GA,서울 송파구 오금동 4,SK주유소 올림픽점
815,GA,서울 관악구 신림동 1695 신림동부아파트 101동 지하,신림역 신원시장
2473,GA,서울 동대문구 답십리동 1003-2,답십리사거리(세기프라자)
265,GA,서울 동작구 노량진동 151-18,노량진역 2번출구
1083,GA,서울 성북구 장위3동 299-64,장월초교 앞
489,GA,서울 관악구 신림동 1514-1,미림여고입구교차로
937,GA,서울 강남구 역삼동 738-8,역삼역 2번출구
1284,GA,서울 강서구 화곡동 1020-23,화곡역 8번출구
1019,GA,서울 강서구 화곡동 1165-1,우장산역 2번출구
1296,GA,서울 동대문구 회기동 346-18,회기역(베라체캠퍼스)
369,GA,서울 동작구 신대방2동 395,동작구민회관
226,EV,서울 성북구 길음동 1278-1,길음동부센트레빌
82,EV,서울 강동구 성내동 194,강동역 3번출구
2188,GA,서울 중구 신당동 842,약수하이츠아파트
1932,GA,서울 강동구 강일동 732-2,상일동역교차로 뒤
119,GA,서울 종로구 적선동 156,경복궁역 6번출구
643,TO,서울 강서구 화곡동 1120-13,서울강서경찰서 옆(새한주차장)
2366,GA,서울 강남구 도곡동 956,서브원 강남빌딩
128,GA,서울 성북구 종암동 29-26,고려대 교우회관
1076,GA,서울 동작구 상도동 188-19,장승배기역(동작경희병원)
542,TO,서울 송파구 장지동 561-55,복정역 환승주차장
2289,GA,서울 성동구 용답동 225-3,하이마트 장한평점
2397,GA,서울 마포구 도화동 538,마포역 2번출구
2287,GA,서울 서초구 서초동 1677-1,브라운스톤 서초주상복합
42,GA,서울 구로구 가리봉동 127-13 앞,가리봉오거리
513,GA,서울 송파구 방이동 110-12,방이사거리(아넥스골프클럽)
2563,GA,서울 강서구 화곡동 347-7,까치산역 4번출구(우성빌딩)
877,GA,서울 강서구 등촌동 669-3,쌍용자동차 발산영업소
899,GA,서울 서초구 양재동 290-3,양재동
969,GA,서울 영등포구 영등포동3가 9-13,영등포역 3번출구
195,GA,서울 은평구 구산동 340-1,구산동공영주차장
1979,GA,서울 송파구 송파동 113-2,송파여성문화회관
971,TO,서울 영등포구 영등포동4가 442-4,타임스퀘어 공영주차장
1063,GA,서울 광진구 자양동 41-9,자양동 노룬산시장
53,GA,서울 강서구 가양동 1480-10,가양역
2048,GA,서울 서대문구 창천동 18-23,신촌역 피델리아주차장
514,GA,서울 도봉구 방학동 620-16,방학2동 주민센터 옆
744,TO,서울 노원구 상계동 1268,수락산역
2466,GA,서울 중구 흥인동 13-1,신당역 11번출구(위브더제니스)
1279,GA,서울 서대문구 홍제동 294-84,홍제역(견인보관소)
630,EV,서울 마포구 창전동 443,서강해모로아파트
191,GA,서울 금천구 독산동 951-4,구로전화국사거리
903,TO,서울 강남구 도곡동 922,양재언주초교지하주차장
1170,GA,서울 동대문구 청량리동 746,청량리역
1826,TO,서울 서대문구 남가좌동 124,DMC파크뷰자이1단지
2314,GA,서울 영등포구 신길동 50-5,SK주유소 신길동점
1867,GA,서울 강서구 내발산동 756,마곡수명산파크7단지아파트
768,GA,서울 관악구 봉천동 944-19,쉐보레 봉천대리점
141,GA,서울 마포구 공덕동 256-42,공덕역 4번출구
938,GA,서울 강남구 역삼동 725-28,역삼역 1번출구(삼성주차장)
2125,EV,서울 성북구 종암동 16-8,종암동 주민센터
1057,GA,서울 용산구 이태원동 119-25,이태원역 해밀톤호텔
2332,GA,서울 마포구 망원동 338-12,망원동 현대힐타운
627,TO,서울 마포구 신수동 93-35,서강대역 1번출구(환승주차장)
401,GA,서울 영등포구 영등포동 618-496,롯데백화점 영등포
2023,GA,서울 서초구 반포동 90-7,서래마을
304,EV,서울 영등포구 신길동 69-39,대방역 4번출구
2030,EV,서울 용산구 한강로3가 40-999(달주차장),용산 아이파크몰(달주차장)
2307,GA,서울 은평구 진관동 100,구파발역 3번출구(은평헤스티아)
923,GA,서울 강남구 역삼동 627-5,언주역 7번출구
953,GA,서울 은평구 불광동 322-2,연신내역
1817,GA,서울 강남구 율현동 294,CU 율현중앙점
414,GA,서울 성동구 마장동 790-15,마장역 3번출구
1266,GA,서울 중랑구 신내동 645,홈플러스 신내점
1268,GA,서울 성북구 하월곡동 46-73,홈플러스 월곡점
701,GA,서울 송파구 송파동 85-3,석촌역
766,GA,서울 금천구 독산동 1054,쉐보레 금천독산대리점
1954,GA,서울 노원구 중계동 364-19,중계동학원가(삼부프라자)
326,GA,서울 도봉구 도봉동 282-26,도봉산(s)
850,GA,서울 양천구 신정동 984-1,신정역 3번출구(신서고)
541,GA,서울 성북구 보문동5가 146-1,SK주유소 광덕점(보문역)
2425,GA,서울 서대문구 창천동 377  ,홍대입구역 4번출구
2446,GA,서울 금천구 독산동 1050-17,독산2동 공영주차장
294,GA,서울 영등포구 당산동5가 9-2,당산역(삼성쉐르빌)
665,GA,서울 성동구 금호동4가 340,서울숲푸르지오1차
230,GA,서울 성북구 길음동 1080,길음역 8번출구
470,GA,서울 양천구 신정동 992-1,목동역 8번출구
601,GA,서울 동작구 상도동 460,상도패리스아파트
734,GA,서울 금천구 독산동 148-32,세일중학교 앞
2413,GA,서울 동작구 상도1동 363-4,상도역 5번출구(파미에)
2051,GA,서울 영등포구 양평동3가 45,롯데마트 양평점
2476,GA,서울 영등포구 당산동5가 9-2,당산역(삼성쉐르빌) 모닝존
86,TO,서울 양천구 신월5동 21-1,강서교육청
2460,GA,서울 종로구 신영동 10-15,신영동 삼거리
2012,EV,서울 동작구 신대방동 686-44,SK주유소 21세기점
22,GA,서울 노원구 상계동 706-2,SK주유소 노원역점
