위도,경도,거점ID,전기차 여부,주소,거점명
37.60972,127.0306,493,GA,서울 강북구 미아동 42-56,하이마트 미아사거리점
37.53168,126.9697,2409,GA,서울 용산구 한강로2가 424,아모레퍼시픽 본사
37.57964,127.0155,2270,GA,서울 종로구 숭인동 7-12,창신역
37.55092,126.944,629,GA,서울 마포구 대흥동 산 1-30,서강대학교
37.56968,126.9796,166,GA,서울 종로구 서린동 132,광화문역 5번출구
37.5446,127.1366,1158,GA,서울 강동구 천호동 87-26,천호1동주민센터
37.55364,126.9755,676,GA,서울 중구 남대문로5가 827,서울역 10번출구(후암삼거리)
37.50511,127.0525,704,TO,서울 강남구 대치동 890-20,선릉역 1번출구
37.57255,127.0741,1081,GA,서울 동대문구 장안동 331-2,장안동사거리
37.57729,126.8133,522,GA,서울 강서구 방화동 830-4,방화역 1번출구
37.62547,127.0177,394,GA,서울 강북구 미아동 1359,롯데마트 삼양점
37.45179,126.9009,1265,GA,서울 금천구 시흥동 992-47,홈플러스 시흥점
37.50477,127.0414,406,GA,서울 강남구 역삼동 675-3,르네상스호텔 사거리
37.4937,127.1443,28,GA,서울 송파구 거여동 26-1,SK주유소 송파점
37.49246,126.9245,2021,GA,서울 동작구 신대방동 395-70,보라매 전문건설회관
37.58435,126.8858,2158,GA,서울 마포구 상암동 1580,DMC첨단산업센터
37.50979,127.132,30,GA,서울 송파구 오금동 4,SK주유소 올림픽점
37.48093,126.9292,815,GA,서울 관악구 신림동 1695 신림동부아파트 101동 지하,신림역 신원시장
37.5724,127.0556,2473,GA,서울 동대문구 답십리동 1003-2,답십리사거리(세기프라자)
37.51387,126.9455,265,GA,서울 동작구 노량진동 151-18,노량진역 2번출구
37.62123,127.0484,1083,GA,서울 성북구 장위3동 299-64,장월초교 앞
37.47113,126.9344,489,GA,서울 관악구 신림동 1514-1,미림여고입구교차로
37.49908,127.0373,937,GA,서울 강남구 역삼동 738-8,역삼역 2번출구
37.54381,126.8362,1284,GA,서울 강서구 화곡동 1020-23,화곡역 8번출구
37.5477,126.8368,1019,GA,서울 강서구 화곡동 1165-1,우장산역 2번출구
37.59084,127.0562,1296,GA,서울 동대문구 회기동 346-18,회기역(베라체캠퍼스)
37.4938,126.9227,369,GA,서울 동작구 신대방2동 395,동작구민회관
37.61038,127.0243,226,EV,서울 성북구 길음동 1278-1,길음동부센트레빌
37.53482,127.1331,82,EV,서울 강동구 성내동 194,강동역 3번출구
37.55506,127.0132,2188,GA,서울 중구 신당동 842,약수하이츠아파트
37.55636,127.1728,1932,GA,서울 강동구 강일동 732-2,상일동역교차로 뒤
37.57441,126.9736,119,GA,서울 종로구 적선동 156,경복궁역 6번출구
37.55256,126.8522,643,TO,서울 강서구 화곡동 1120-13,서울강서경찰서 옆(새한주차장)
37.48533,127.0366,2366,GA,서울 강남구 도곡동 956,서브원 강남빌딩
37.59174,127.0356,128,GA,서울 성북구 종암동 29-26,고려대 교우회관
37.50245,126.9361,1076,GA,서울 동작구 상도동 188-19,장승배기역(동작경희병원)
37.47018,127.1282,542,TO,서울 송파구 장지동 561-55,복정역 환승주차장
